时间,开盘,最高,最低,收盘
2025-08-16 10:40:00,97.49,98.94,97.18,98.46
2025-08-16 10:41:00,98.46,98.5,97.53,97.7
2025-08-16 10:42:00,97.7,98.94,97.17,98.92
2025-08-16 10:43:00,98.92,99.13,98.92,99.07
2025-08-16 10:44:00,99.07,99.75,96.68,97.23
2025-08-16 10:45:00,97.23,98.63,97.14,98.32
2025-08-16 10:46:00,98.32,100.28,98.21,100.09
2025-08-16 10:47:00,100.09,100.5,99.11,99.37
2025-08-16 10:48:00,99.37,99.87,98.02,98.3
2025-08-16 10:49:00,98.3,98.35,97.87,97.99
2025-08-16 10:50:00,97.99,100.15,97.9,99.41
2025-08-16 10:51:00,99.41,100.48,95.91,97.57
2025-08-16 10:52:00,97.57,98.18,94.71,95.77
2025-08-16 10:53:00,95.77,95.91,93.34,94.23
2025-08-16 10:54:00,94.23,94.47,93.55,93.72
2025-08-16 10:55:00,93.72,95.55,93.1,95.33
2025-08-16 10:56:00,95.33,97.27,94.94,96.71
2025-08-16 10:57:00,96.71,97.21,94.67,94.91
2025-08-16 10:58:00,94.91,95.44,94.76,95.4
2025-08-16 10:59:00,95.4,97.61,94.96,97.07
2025-08-16 11:00:00,97.07,97.48,94.25,95.21
2025-08-16 11:01:00,95.21,97.0,94.93,96.6
2025-08-16 11:02:00,96.6,96.7,95.91,95.99
2025-08-16 11:03:00,95.99,96.51,93.62,94.41
2025-08-16 11:04:00,94.41,96.5,93.67,96.06
2025-08-16 11:05:00,96.06,97.42,95.82,96.94
2025-08-16 11:06:00,96.94,99.45,96.49,98.79
2025-08-16 11:07:00,98.79,99.9,98.49,99.75
2025-08-16 11:08:00,99.75,102.25,99.5,101.65
2025-08-16 11:09:00,101.65,104.01,100.86,103.09
2025-08-16 11:10:00,103.09,105.11,102.95,104.93
2025-08-16 11:11:00,104.93,106.48,104.88,106.2
2025-08-16 11:12:00,106.2,108.17,105.92,107.68
2025-08-16 11:13:00,107.68,109.54,107.08,109.36
2025-08-16 11:14:00,109.36,109.46,107.56,108.2
2025-08-16 11:15:00,108.2,108.52,106.4,106.76
2025-08-16 11:16:00,106.76,108.13,106.17,107.84
2025-08-16 11:17:00,107.84,109.43,107.42,109.2
2025-08-16 11:18:00,109.2,109.55,105.91,107.05
2025-08-16 11:19:00,107.05,107.37,104.84,105.74
2025-08-16 11:20:00,105.74,108.05,105.19,107.27
2025-08-16 11:21:00,107.27,109.52,106.94,108.99
2025-08-16 11:22:00,108.99,111.64,108.45,111.06
2025-08-16 11:23:00,111.06,111.12,109.91,110.07
2025-08-16 11:24:00,110.07,111.18,109.76,110.81
2025-08-16 11:25:00,110.81,111.17,108.19,108.67
2025-08-16 11:26:00,108.67,108.71,108.4,108.45
2025-08-16 11:27:00,108.45,108.49,107.14,107.44
2025-08-16 11:28:00,107.44,109.21,107.19,108.77
2025-08-16 11:29:00,108.77,110.85,108.76,110.24
2025-08-16 11:30:00,110.24,110.28,109.78,109.89
2025-08-16 11:31:00,109.89,109.9,109.82,109.84
2025-08-16 11:32:00,109.84,110.18,108.69,108.96
2025-08-16 11:33:00,108.96,109.5,106.08,106.98
2025-08-16 11:34:00,106.98,107.08,106.47,106.52
2025-08-16 11:35:00,106.52,107.36,103.46,104.39
2025-08-16 11:36:00,104.39,104.96,104.38,104.9
2025-08-16 11:37:00,104.9,106.32,104.53,106.05
2025-08-16 11:38:00,106.05,106.82,105.9,106.57
2025-08-16 11:39:00,106.57,106.57,105.49,105.85
2025-08-16 11:40:00,105.85,105.93,104.51,104.94
2025-08-16 11:41:00,104.94,105.54,104.89,105.28
2025-08-16 11:42:00,105.28,105.3,105.27,105.29
2025-08-16 11:43:00,105.29,107.48,104.86,106.86
2025-08-16 11:44:00,106.86,107.35,106.77,107.18
2025-08-16 11:45:00,107.18,109.51,106.9,109.25
2025-08-16 11:46:00,109.25,110.22,106.53,107.13
2025-08-16 11:47:00,107.13,107.21,106.14,106.17
2025-08-16 11:48:00,106.17,107.52,105.94,107.24
2025-08-16 11:49:00,107.24,107.54,105.21,105.45
2025-08-16 11:50:00,105.45,105.86,103.56,103.81
2025-08-16 11:51:00,103.81,103.84,103.55,103.56
2025-08-16 11:52:00,103.56,104.09,101.85,101.9
2025-08-16 11:53:00,101.9,104.12,101.46,103.9
2025-08-16 11:54:00,103.9,103.99,103.89,103.97
2025-08-16 11:55:00,103.97,107.1,103.53,105.89
2025-08-16 11:56:00,105.89,105.92,105.81,105.84
2025-08-16 11:57:00,105.84,107.83,105.74,107.29
2025-08-16 11:58:00,107.29,107.92,107.25,107.86
2025-08-16 11:59:00,107.86,107.88,106.04,106.17
2025-08-16 12:00:00,106.17,106.45,103.54,104.47
2025-08-16 12:01:00,104.47,105.56,104.24,105.51
2025-08-16 12:02:00,105.51,106.1,105.49,105.92
2025-08-16 12:03:00,105.92,106.41,105.78,106.31
2025-08-16 12:04:00,106.31,108.58,106.25,108.07
2025-08-16 12:05:00,108.07,108.31,106.25,106.61
2025-08-16 12:06:00,106.61,106.81,104.92,105.68
2025-08-16 12:07:00,105.68,105.73,104.9,104.93
2025-08-16 12:08:00,104.93,105.01,104.5,104.54
2025-08-16 12:09:00,104.54,105.2,104.42,104.98
2025-08-16 12:10:00,104.98,105.68,104.81,105.53
2025-08-16 12:11:00,105.53,105.6,104.63,104.77
2025-08-16 12:12:00,104.77,107.67,104.31,106.69
2025-08-16 12:13:00,106.69,109.53,105.77,108.49
2025-08-16 12:14:00,108.49,108.53,106.94,107.21
2025-08-16 12:15:00,107.21,109.58,107.06,108.85
2025-08-16 12:16:00,108.85,108.95,106.98,107.34
2025-08-16 12:17:00,107.34,107.84,107.25,107.64
2025-08-16 12:18:00,107.64,107.82,106.5,106.83
2025-08-16 12:19:00,106.83,110.52,106.8,108.93
2025-08-16 12:20:00,108.93,111.74,108.6,110.73
2025-08-16 12:21:00,110.73,111.49,108.44,108.53
2025-08-16 12:22:00,108.53,109.19,108.42,109.11
2025-08-16 12:23:00,109.11,110.49,108.89,110.23
2025-08-16 12:24:00,110.23,113.25,109.8,112.04
2025-08-16 12:25:00,112.04,112.07,111.18,111.47
2025-08-16 12:26:00,111.47,112.71,111.14,112.5
2025-08-16 12:27:00,112.5,113.36,112.33,113.29
2025-08-16 12:28:00,113.29,113.98,113.15,113.85
2025-08-16 12:29:00,113.85,116.2,113.67,115.76
2025-08-16 12:30:00,115.76,115.88,115.23,115.33
2025-08-16 12:31:00,115.33,119.05,115.25,117.5
2025-08-16 12:32:00,117.5,117.65,115.62,116.3
2025-08-16 12:33:00,116.3,116.49,114.73,114.99
2025-08-16 12:34:00,114.99,115.97,111.59,112.7
2025-08-16 12:35:00,112.7,113.42,110.16,111.33
2025-08-16 12:36:00,111.33,113.26,110.91,112.72
2025-08-16 12:37:00,112.72,114.76,112.65,114.0
2025-08-16 12:38:00,114.0,115.42,113.5,115.3
2025-08-16 12:39:00,115.3,115.51,114.47,114.49
2025-08-16 12:40:00,114.49,115.7,114.17,115.16
2025-08-16 12:41:00,115.16,115.26,113.48,113.8
2025-08-16 12:42:00,113.8,114.03,113.03,113.32
2025-08-16 12:43:00,113.32,113.4,112.89,113.03
2025-08-16 12:44:00,113.03,113.03,113.0,113.0
2025-08-16 12:45:00,113.0,115.31,112.21,115.13
2025-08-16 12:46:00,115.13,116.38,114.71,116.17
2025-08-16 12:47:00,116.17,116.2,113.11,114.22
2025-08-16 12:48:00,114.22,116.81,113.58,115.75
2025-08-16 12:49:00,115.75,115.89,113.54,113.94
2025-08-16 12:50:00,113.94,115.78,113.5,115.34
2025-08-16 12:51:00,115.34,115.64,115.33,115.62
2025-08-16 12:52:00,115.62,116.03,112.69,113.84
2025-08-16 12:53:00,113.84,113.86,113.19,113.39
2025-08-16 12:54:00,113.39,114.31,113.33,113.96
2025-08-16 12:55:00,113.96,115.66,113.73,115.17
2025-08-16 12:56:00,115.17,115.9,115.15,115.6
2025-08-16 12:57:00,115.6,115.64,115.5,115.51
2025-08-16 12:58:00,115.51,115.85,113.24,113.68
2025-08-16 12:59:00,113.68,113.92,113.62,113.88
2025-08-16 13:00:00,113.88,114.1,113.86,114.04
2025-08-16 13:01:00,114.04,115.09,113.84,114.89
2025-08-16 13:02:00,114.89,115.46,114.66,115.28
2025-08-16 13:03:00,115.28,116.75,115.1,116.31
2025-08-16 13:04:00,116.31,116.34,114.17,114.65
2025-08-16 13:05:00,114.65,115.27,114.57,115.18
2025-08-16 13:06:00,115.18,115.37,115.14,115.34
2025-08-16 13:07:00,115.34,115.42,113.29,113.83
2025-08-16 13:08:00,113.83,116.18,113.49,115.71
2025-08-16 13:09:00,115.71,116.14,114.27,114.55
2025-08-16 13:10:00,114.55,115.02,112.74,113.11
2025-08-16 13:11:00,113.11,113.59,111.23,111.28
2025-08-16 13:12:00,111.28,112.18,107.86,109.24
2025-08-16 13:13:00,109.24,112.48,108.98,111.08
2025-08-16 13:14:00,111.08,114.42,110.57,113.14
2025-08-16 13:15:00,113.14,113.72,110.25,110.91
2025-08-16 13:16:00,110.91,111.47,110.64,111.42
2025-08-16 13:17:00,111.42,112.37,111.2,111.97
2025-08-16 13:18:00,111.97,114.43,111.78,113.72
2025-08-16 13:19:00,113.72,113.74,113.42,113.48
2025-08-16 13:20:00,113.48,114.09,110.47,111.37
2025-08-16 13:21:00,111.37,111.89,109.34,109.58
2025-08-16 13:22:00,109.58,110.1,108.44,108.59
2025-08-16 13:23:00,108.59,109.76,108.31,109.51
2025-08-16 13:24:00,109.51,109.67,108.95,108.99
2025-08-16 13:25:00,108.99,109.06,106.96,107.91
2025-08-16 13:26:00,107.91,108.82,107.86,108.51
2025-08-16 13:27:00,108.51,110.29,108.38,109.77
2025-08-16 13:28:00,109.77,110.98,109.73,110.66
2025-08-16 13:29:00,110.66,112.28,110.12,112.24
2025-08-16 13:30:00,112.24,112.31,112.03,112.08
2025-08-16 13:31:00,112.08,112.26,109.86,110.77
2025-08-16 13:32:00,110.77,110.89,109.48,110.1
2025-08-16 13:33:00,110.1,111.07,107.88,108.0
2025-08-16 13:34:00,108.0,108.39,104.86,105.9
2025-08-16 13:35:00,105.9,106.06,104.4,104.83
2025-08-16 13:36:00,104.83,106.41,104.59,105.96
2025-08-16 13:37:00,105.96,106.46,104.01,104.66
2025-08-16 13:38:00,104.66,105.8,104.42,105.69
2025-08-16 13:39:00,105.69,106.56,103.27,103.61
2025-08-16 13:40:00,103.61,104.07,100.66,101.72
2025-08-16 13:41:00,101.72,101.96,100.41,100.99
2025-08-16 13:42:00,100.99,101.0,100.92,100.95
2025-08-16 13:43:00,100.95,101.13,99.26,99.31
2025-08-16 13:44:00,99.31,99.4,98.25,98.41
2025-08-16 13:45:00,98.41,100.33,98.03,99.38
2025-08-16 13:46:00,99.38,100.67,99.32,100.27
2025-08-16 13:47:00,100.27,103.41,99.63,102.23
2025-08-16 13:48:00,102.23,104.5,101.77,104.22
2025-08-16 13:49:00,104.22,104.95,104.18,104.76
2025-08-16 13:50:00,104.76,105.31,104.76,105.11
2025-08-16 13:51:00,105.11,106.61,104.77,106.09
2025-08-16 13:52:00,106.09,106.15,103.63,104.1
2025-08-16 13:53:00,104.1,105.58,103.5,105.26
2025-08-16 13:54:00,105.26,107.13,104.81,106.44
2025-08-16 13:55:00,106.44,107.41,106.42,107.15
2025-08-16 13:56:00,107.15,107.94,105.24,105.26
2025-08-16 13:57:00,105.26,106.74,105.05,106.34
2025-08-16 13:58:00,106.34,106.44,104.97,105.17
2025-08-16 13:59:00,105.17,105.67,103.89,104.18
2025-08-16 14:00:00,104.18,105.33,104.06,104.92
2025-08-16 14:01:00,104.92,105.48,102.41,103.26
2025-08-16 14:02:00,103.26,104.39,103.17,104.29
2025-08-16 14:03:00,104.29,105.91,104.0,105.23
2025-08-16 14:04:00,105.23,105.91,105.19,105.7
2025-08-16 14:05:00,105.7,105.8,104.19,104.89
2025-08-16 14:06:00,104.89,106.96,104.73,106.66
2025-08-16 14:07:00,106.66,108.31,106.49,107.78
2025-08-16 14:08:00,107.78,109.52,107.6,108.89
2025-08-16 14:09:00,108.89,110.59,108.53,110.48
2025-08-16 14:10:00,110.48,110.69,107.27,108.43
2025-08-16 14:11:00,108.43,108.46,106.34,106.86
2025-08-16 14:12:00,106.86,108.91,106.33,108.39
2025-08-16 14:13:00,108.39,108.69,108.37,108.59
2025-08-16 14:14:00,108.59,111.0,108.25,110.7
2025-08-16 14:15:00,110.7,111.71,110.43,111.48
2025-08-16 14:16:00,111.48,111.49,109.8,110.41
2025-08-16 14:17:00,110.41,110.48,109.6,109.83
2025-08-16 14:18:00,109.83,110.16,107.51,108.14
2025-08-16 14:19:00,108.14,108.84,107.93,108.74
2025-08-16 14:20:00,108.74,109.67,108.53,109.32
2025-08-16 14:21:00,109.32,109.59,109.3,109.51
2025-08-16 14:22:00,109.51,110.04,106.49,107.41
2025-08-16 14:23:00,107.41,109.63,106.87,109.37
2025-08-16 14:24:00,109.37,109.55,109.37,109.53
2025-08-16 14:25:00,109.53,110.09,107.33,107.85
2025-08-16 14:26:00,107.85,110.23,106.89,109.95
2025-08-16 14:27:00,109.95,110.84,109.82,110.42
2025-08-16 14:28:00,110.42,111.62,110.12,111.53
2025-08-16 14:29:00,111.53,111.61,111.05,111.25
2025-08-16 14:30:00,111.25,113.36,111.02,112.63
2025-08-16 14:31:00,112.63,113.79,112.56,113.66
2025-08-16 14:32:00,113.66,116.59,112.94,115.69
2025-08-16 14:33:00,115.69,116.65,113.28,113.71
2025-08-16 14:34:00,113.71,114.09,113.65,113.94
2025-08-16 14:35:00,113.94,114.09,113.52,113.57
2025-08-16 14:36:00,113.57,116.45,113.4,115.29
2025-08-16 14:37:00,115.29,116.31,115.23,115.98
2025-08-16 14:38:00,115.98,116.43,113.8,114.23
2025-08-16 14:39:00,114.23,116.56,113.8,116.07
2025-08-16 14:40:00,116.07,118.07,115.88,117.69
2025-08-16 14:41:00,117.69,118.62,117.61,118.32
2025-08-16 14:42:00,118.32,118.58,116.95,117.21
2025-08-16 14:43:00,117.21,118.45,116.98,118.04
2025-08-16 14:44:00,118.04,120.68,118.03,120.02
2025-08-16 14:45:00,120.02,120.08,119.3,119.56
2025-08-16 14:46:00,119.56,121.62,119.23,121.45
2025-08-16 14:47:00,121.45,124.37,120.72,123.36
2025-08-16 14:48:00,123.36,123.48,121.27,121.51
2025-08-16 14:49:00,121.51,122.33,118.09,119.5
2025-08-16 14:50:00,119.5,119.88,116.43,117.32
2025-08-16 14:51:00,117.32,117.32,116.85,117.06
2025-08-16 14:52:00,117.06,118.13,116.85,117.79
2025-08-16 14:53:00,117.79,118.04,115.9,116.42
2025-08-16 14:54:00,116.42,116.43,116.12,116.17
2025-08-16 14:55:00,116.17,117.36,116.1,117.35
2025-08-16 14:56:00,117.35,117.45,116.15,116.64
2025-08-16 14:57:00,116.64,116.66,114.77,115.23
2025-08-16 14:58:00,115.23,116.04,115.01,115.96
2025-08-16 14:59:00,115.96,116.17,115.95,116.1
2025-08-16 15:00:00,116.1,116.75,112.84,113.84
2025-08-16 15:01:00,113.84,114.88,113.78,114.53
2025-08-16 15:02:00,114.53,114.85,113.36,113.47
2025-08-16 15:03:00,113.47,116.21,113.41,115.05
2025-08-16 15:04:00,115.05,115.25,115.0,115.2
2025-08-16 15:05:00,115.2,115.61,113.08,113.98
2025-08-16 15:06:00,113.98,114.84,110.99,111.8
2025-08-16 15:07:00,111.8,114.21,111.18,113.8
2025-08-16 15:08:00,113.8,113.84,113.63,113.67
2025-08-16 15:09:00,113.67,114.38,113.51,114.11
2025-08-16 15:10:00,114.11,114.13,112.12,112.89
2025-08-16 15:11:00,112.89,113.27,110.6,110.94
2025-08-16 15:12:00,110.94,111.15,109.71,109.84
2025-08-16 15:13:00,109.84,110.12,107.28,108.22
2025-08-16 15:14:00,108.22,109.56,107.73,109.29
2025-08-16 15:15:00,109.29,109.54,109.24,109.44
2025-08-16 15:16:00,109.44,112.99,108.71,111.48
2025-08-16 15:17:00,111.48,114.26,111.41,113.03
2025-08-16 15:18:00,113.03,114.26,113.02,113.96
2025-08-16 15:19:00,113.96,114.64,113.65,114.63
2025-08-16 15:20:00,114.63,114.75,114.14,114.34
2025-08-16 15:21:00,114.34,114.37,113.87,114.01
2025-08-16 15:22:00,114.01,114.33,113.98,114.25
2025-08-16 15:23:00,114.25,114.46,113.23,113.58
2025-08-16 15:24:00,113.58,115.06,113.41,114.87
2025-08-16 15:25:00,114.87,117.18,114.57,116.81
2025-08-16 15:26:00,116.81,117.54,116.65,117.33
2025-08-16 15:27:00,117.33,119.49,117.28,119.17
2025-08-16 15:28:00,119.17,119.43,117.54,117.88
2025-08-16 15:29:00,117.88,120.16,117.59,119.82
2025-08-16 15:30:00,119.82,120.56,119.65,120.28
2025-08-16 15:31:00,120.28,121.04,120.09,120.98
2025-08-16 15:32:00,120.98,123.21,120.92,123.14
2025-08-16 15:33:00,123.14,125.83,122.9,125.07
2025-08-16 15:34:00,125.07,126.89,124.71,126.33
2025-08-16 15:35:00,126.33,129.1,125.77,128.38
2025-08-16 15:36:00,128.38,132.63,127.32,130.7
2025-08-16 15:37:00,130.7,132.35,130.3,131.8
2025-08-16 15:38:00,131.8,133.91,131.17,133.69
2025-08-16 15:39:00,133.69,136.88,132.9,136.19
2025-08-16 15:40:00,136.19,136.71,132.3,133.79
2025-08-16 15:41:00,133.79,133.95,132.64,133.02
2025-08-16 15:42:00,133.02,133.59,130.24,131.37
2025-08-16 15:43:00,131.37,133.5,130.96,132.82
2025-08-16 15:44:00,132.82,134.28,132.63,133.99
2025-08-16 15:45:00,133.99,134.65,133.88,134.63
2025-08-16 15:46:00,134.63,135.68,131.19,132.51
2025-08-16 15:47:00,132.51,133.54,132.5,133.42
2025-08-16 15:48:00,133.42,133.59,132.72,133.0
2025-08-16 15:49:00,133.0,135.37,132.49,135.0
2025-08-16 15:50:00,135.0,138.11,134.48,137.58
2025-08-16 15:51:00,137.58,137.76,133.36,135.19
2025-08-16 15:52:00,135.19,136.44,135.0,136.17
2025-08-16 15:53:00,136.17,136.37,136.16,136.32
2025-08-16 15:54:00,136.32,136.33,135.56,135.68
2025-08-16 15:55:00,135.68,137.59,135.12,137.34
2025-08-16 15:56:00,137.34,137.78,137.28,137.59
2025-08-16 15:57:00,137.59,138.78,137.38,138.37
2025-08-16 15:58:00,138.37,138.41,137.36,137.56
2025-08-16 15:59:00,137.56,137.93,137.5,137.9
2025-08-16 16:00:00,137.9,141.67,137.54,140.32
2025-08-16 16:01:00,140.32,140.38,139.8,139.95
2025-08-16 16:02:00,139.95,140.3,138.8,138.84
2025-08-16 16:03:00,138.84,139.86,138.55,139.75
2025-08-16 16:04:00,139.75,139.82,137.98,138.1
2025-08-16 16:05:00,138.1,140.51,137.95,139.83
2025-08-16 16:06:00,139.83,139.9,139.48,139.48
2025-08-16 16:07:00,139.48,139.63,138.62,138.96
2025-08-16 16:08:00,138.96,140.01,138.71,139.69
2025-08-16 16:09:00,139.69,142.03,139.38,142.03
2025-08-16 16:10:00,142.03,142.22,139.49,139.7
2025-08-16 16:11:00,139.7,141.86,139.23,141.24
2025-08-16 16:12:00,141.24,141.67,140.2,140.45
2025-08-16 16:13:00,140.45,142.14,140.06,141.78
2025-08-16 16:14:00,141.78,143.15,141.75,142.58
2025-08-16 16:15:00,142.58,142.89,142.57,142.79
2025-08-16 16:16:00,142.79,142.89,142.03,142.16
2025-08-16 16:17:00,142.16,142.39,138.25,139.89
2025-08-16 16:18:00,139.89,141.85,139.49,141.5
2025-08-16 16:19:00,141.5,144.16,141.43,143.43
2025-08-16 16:20:00,143.43,143.68,142.49,142.59
2025-08-16 16:21:00,142.59,145.35,142.54,144.53
2025-08-16 16:22:00,144.53,147.33,143.88,146.43
2025-08-16 16:23:00,146.43,147.07,142.77,144.41
2025-08-16 16:24:00,144.41,145.98,144.1,145.81
2025-08-16 16:25:00,145.81,146.57,142.6,143.18
2025-08-16 16:26:00,143.18,146.0,143.06,145.36
2025-08-16 16:27:00,145.36,146.25,145.25,145.91
2025-08-16 16:28:00,145.91,148.3,145.31,148.11
2025-08-16 16:29:00,148.11,148.52,144.87,145.66
2025-08-16 16:30:00,145.66,146.8,145.49,146.44
2025-08-16 16:31:00,146.44,146.98,146.41,146.76
2025-08-16 16:32:00,146.76,146.89,143.96,144.85
2025-08-16 16:33:00,144.85,145.63,144.65,145.49
2025-08-16 16:34:00,145.49,149.24,144.69,147.94
2025-08-16 16:35:00,147.94,150.41,147.41,149.42
2025-08-16 16:36:00,149.42,149.61,148.46,148.71
2025-08-16 16:37:00,148.71,148.76,146.77,147.32
2025-08-16 16:38:00,147.32,149.64,147.11,149.11
2025-08-16 16:39:00,149.11,149.22,148.66,148.8
2025-08-16 16:40:00,148.8,148.81,145.18,145.98
2025-08-16 16:41:00,145.98,146.11,145.01,145.42
2025-08-16 16:42:00,145.42,147.08,145.3,146.46
2025-08-16 16:43:00,146.46,146.54,146.05,146.12
2025-08-16 16:44:00,146.12,146.97,145.94,146.8
2025-08-16 16:45:00,146.8,148.98,146.39,148.56
2025-08-16 16:46:00,148.56,149.38,148.52,149.21
2025-08-16 16:47:00,149.21,149.56,147.96,148.11
2025-08-16 16:48:00,148.11,148.82,145.65,145.76
2025-08-16 16:49:00,145.76,148.04,145.71,147.4
2025-08-16 16:50:00,147.4,147.93,144.93,144.95
2025-08-16 16:51:00,144.95,145.19,144.92,145.13
2025-08-16 16:52:00,145.13,145.17,144.4,144.52
2025-08-16 16:53:00,144.52,144.52,143.4,143.53
2025-08-16 16:54:00,143.53,145.41,143.16,145.29
2025-08-16 16:55:00,145.29,145.51,145.26,145.44
2025-08-16 16:56:00,145.44,148.36,144.68,146.99
2025-08-16 16:57:00,146.99,147.11,146.35,146.61
2025-08-16 16:58:00,146.61,147.08,146.49,146.87
2025-08-16 16:59:00,146.87,147.18,146.77,147.14
2025-08-16 17:00:00,147.14,147.14,147.13,147.13
2025-08-16 17:01:00,147.13,147.51,145.22,145.43
2025-08-16 17:02:00,145.43,146.7,145.23,146.15
2025-08-16 17:03:00,146.15,146.24,142.66,143.5
2025-08-16 17:04:00,143.5,144.02,143.28,144.0
2025-08-16 17:05:00,144.0,144.06,143.68,143.8
2025-08-16 17:06:00,143.8,144.69,143.65,144.51
2025-08-16 17:07:00,144.51,145.39,142.42,142.61
2025-08-16 17:08:00,142.61,142.69,141.7,142.06
2025-08-16 17:09:00,142.06,143.18,137.09,139.34
2025-08-16 17:10:00,139.34,139.63,137.28,137.78
2025-08-16 17:11:00,137.78,138.3,136.03,136.38
2025-08-16 17:12:00,136.38,136.46,135.41,135.65
2025-08-16 17:13:00,135.65,135.75,133.62,134.48
2025-08-16 17:14:00,134.48,137.88,134.37,136.67
2025-08-16 17:15:00,136.67,137.51,136.59,137.47
2025-08-16 17:16:00,137.47,140.5,136.95,139.61
2025-08-16 17:17:00,139.61,139.68,138.77,138.97
2025-08-16 17:18:00,138.97,139.91,138.87,139.68
2025-08-16 17:19:00,139.68,140.02,138.41,138.86
2025-08-16 17:20:00,138.86,140.69,138.67,139.89
2025-08-16 17:21:00,139.89,142.92,139.73,141.87
2025-08-16 17:22:00,141.87,142.01,140.06,140.61
2025-08-16 17:23:00,140.61,142.56,140.35,142.41
2025-08-16 17:24:00,142.41,142.53,141.75,141.94
2025-08-16 17:25:00,141.94,141.95,141.18,141.49
2025-08-16 17:26:00,141.49,144.4,141.44,143.39
2025-08-16 17:27:00,143.39,145.52,143.3,144.99
2025-08-16 17:28:00,144.99,145.21,144.96,145.19
2025-08-16 17:29:00,145.19,145.44,142.48,143.26
2025-08-16 17:30:00,143.26,145.57,142.99,144.57
